"","Pseudotime"
"aP60_1_20",0.837099528104927
"aP60_1_14",0.837270717135253
"aP9_4_06",0.83802569789268
"aP18_1_14",0.838459673765158
"aP18_1_10",0.838984155942245
"aP18_1_03",0.839084422411877
"aP15_2_18",0.840144217447588
"aP60_5_10",0.840275624600508
"aP60_2_08",0.840437851028794
"aP60_1_07",0.842069138574686
"aP18_1_05",0.842382330421725
"aP18_2_02",0.842524219500825
"aP15_1_01",0.843030678686176
"aP15_1_12",0.843501881950372
"aP60_3_11",0.843539970816506
"aP18_1_11",0.843779372346974
"aP60_1_19",0.844339746137055
"aP15_1_03",0.844833211701064
"aP15_2_17",0.845295576107919
"aP15_2_11",0.845315377938441
"aP9_4_02",0.845493746923563
"aP60_5_02",0.845681344530908
"aP18_1_09",0.847511916469193
"aP18_1_07",0.847893283164244
"aP15_2_09",0.850241532878895
"aP60_4_06",0.850291130276513
"aP60_1_04",0.850663433591832
"aP9_2_18",0.85191303995415
"aP18_3_02",0.85216656752505
"aP9_3_06",0.852411460137659
"aP15_2_02",0.862520932333698
"aP60_3_15",0.862714742082171
"aP60_2_15",0.865608588792852
"aP9_4_09",0.866596015955252
"aP18_3_10",0.866935095755326
"aP18_2_07",0.867160082746436
"aP15_2_20",0.867989766943882
"aP60_1_03",0.869703246597646
"aP60_4_14",0.870841960149608
"aP18_3_05",0.871514467317287
"aP60_2_05",0.871662200763114
"aP18_2_06",0.8726503384845
"aP15_2_05",0.872735376353118
"aP60_5_11",0.875979811409307
"aP60_1_15",0.87645786636143
"aP18_3_04",0.878111128661486
"aP60_2_11",0.881595602172267
"aP60_3_02",0.882392058288037
"aP9_4_13",0.882779238398528
"aP60_4_02",0.883631054213088
"aP15_2_10",0.885937848197609
"aP9_2_21",0.886147496830605
"aP60_3_07",0.88618828316473
"aP60_4_08",0.886632597344018
"aP9_2_13",0.887119619971477
"aP60_1_09",0.887326833924822
"aP18_2_04",0.887857399778452
"aP9_2_14",0.889146515013494
"aP18_1_06",0.889329284164109
"aP60_1_05",0.890161656073566
"aP60_4_09",0.89036604081599
"aP60_5_04",0.891967240552501
"aP18_2_13",0.893038881742633
"aP18_3_09",0.893040994926011
"aP60_2_02",0.893863281514516
"aP60_2_13",0.89387312989722
"aP15_1_13",0.894345484022934
"aP9_4_03",0.895636203474952
"aP60_3_01",0.895806924027587
"aP18_2_08",0.896127776262607
"aP18_2_03",0.897140624481396
"aP60_1_12",0.898507588692704
"aP60_3_14",0.899173705358737
"aP15_2_13",0.903070571031501
"aP18_2_12",0.903617692717925
"aP60_2_07",0.903877311475333
"aP15_1_23",0.904392944397381
"aP60_2_12",0.904425607506448
"aP18_2_01",0.906345158585077
"aP9_4_15",0.906589094814048
"aP15_1_10",0.907865048246373
"aP18_3_07",0.908480808757169
"aP60_1_08",0.908550852475199
"aP9_4_05",0.909646716014979
"aP60_4_11",0.90976036083009
"aP18_1_15",0.909874491635295
"aP60_4_01",0.909919043456803
"aP60_5_06",0.91027629389965
"aP15_1_11",0.910319595370036
"aP60_4_12",0.91057999476394
"aP60_4_07",0.911794494781294
"aP60_2_16",0.911891318292147
"aP9_4_08",0.912808632951743
"aP18_2_05",0.912826625350251
"aP9_4_07",0.914680795711183
"aP60_1_06",0.915891947251168
"aP60_1_17",0.916696675038206
"aP18_1_02",0.91687957700128
"aP18_1_08",0.916913267213215
"aP18_2_10",0.917323869306341
"aP18_1_19",0.918209373082171
"aP60_4_15",0.918242035410015
"aP60_2_01",0.918310798285997
"aP60_1_18",0.918689014701666
"aP15_1_19",0.919603245750842
"aP15_2_06",0.92057913239814
"aP15_2_03",0.921282776580152
"aP60_2_04",0.922356129572745
"aP15_2_07",0.922876283619557
"aP15_2_08",0.925398344770072
"aP60_5_01",0.925794321226383
"aP60_3_06",0.925829474091282
"aP18_1_13",0.926157277094621
"aP60_3_04",0.926241524035997
"aP60_5_15",0.926704250706846
"aP60_4_05",0.926917923760604
"aP15_1_05",0.927309562488764
"aP60_2_06",0.928793837689668
"aP18_3_06",0.929124106226294
"aP18_1_12",0.931461318105265
"aP60_3_13",0.932437993312888
"aP60_3_10",0.933897774856759
"aP60_4_04",0.93471644959829
"aP18_3_08",0.938028866266197
"aP60_5_14",0.938275957726942
"aP9_4_01",0.93963905338531
"aP60_2_14",0.939659537153246
"aP60_3_03",0.940451132954222
"aP18_3_03",0.940497653209755
"aP60_4_13",0.940645284055039
"aP60_5_13",0.942945721269982
"aP60_4_10",0.944769829639074
"aP60_2_10",0.946553695874505
"aP60_4_03",0.947055877653236
"aP60_5_08",0.948986136050012
"aP15_2_01",0.949491743065864
"aP60_1_16",0.950306944859904
"aP60_5_12",0.951062559137556
"aP15_1_09",0.95210481041498
"aP60_3_09",0.953772150124372
"aP60_2_09",0.954711984282661
"aP60_5_03",0.957225774929093
"aP60_1_01",0.957536805998639
"aP60_2_03",0.960176412635678
"aP18_3_12",0.962325507571105
"aP60_1_11",0.96526262332214
"aP60_3_05",0.97324581512311
"aP15_1_15",0.974288751397736
"aP60_1_13",0.976304038539568
"aP60_3_08",0.980149711409743
"aP60_5_16",0.983321622599246
"aP18_1_17",0.984701816747025
"aP60_1_10",0.996617010689288
"aP60_5_05",1
