"SiteCode";"la_id";"Classification";"os_grid_x";"os_grid_y";"Latitude";"Longitude";"OpeningDate";"ClosingDate"
"WL5";31;"Roadside";537802;186021;51.556257676576;-0.013629679065;2007-09-20 01:00:00;2011-04-01 01:00:00
"WM1";500;"Urban Background";529802;178962;51.4946816299134;-0.131587057244986;1993-01-01 00:00:00;1995-09-30 01:00:00
"HP4";651;"Urban Background";536473;174128;51.4496728960354;-0.0374153592115306;2018-11-27 00:00:00;
"HP1";23;"Urban Background";536473;174128;51.4496728960354;-0.0374153592115306;2018-11-27 00:00:00;
"HP3";651;"Urban Background";536473;174128;51.4496728960354;-0.0374153592115306;2008-10-01 01:00:00;
"MP3";177;"Industrial";439071;111152;50.8985062038577;-1.44578806770638;2007-09-17 01:00:00;2015-01-07 00:00:00
"MP2";177;"Industrial";439701;112762;50.912965;-1.436635;2007-09-17 01:00:00;2015-01-06 00:00:00
"NK2";651;"Urban Background";524045;181752;51.5210467476039;-0.213492139585065;2005-10-17 01:00:00;2018-11-08 00:00:00
"KC8";651;"Urban Background";524045;181752;51.5210467476039;-0.213492139585065;2005-01-01 00:00:00;2010-01-01 17:15:00
"WM5";33;"Urban Background";530444;180903;51.5119769825798;-0.12162720332856;2009-07-10 01:00:00;
"WL4";31;"Kerbside";537466;191071;51.601718495597;-0.016498263136;2007-11-01 00:00:00;2011-04-01 01:00:00
"RIU";503;"Roadside";519584;176495;51.4747612913777;-0.279538133939661;2008-01-08 10:00:00;2009-01-07 10:00:00
"IC6";504;"Roadside";532527;180789;51.5104682413134;-0.0916706755022448;2008-05-08 01:00:00;2011-09-21 01:00:00
"RG2";40;"Suburban";528552;141855;51.161508;-0.162928;2003-08-12 09:00:00;2017-01-09 00:00:00
"ZW1";100;"Roadside";600199;160894;51.3119055983069;0.871167456642918;2003-08-14 12:30:00;2008-02-20 14:30:00
"ZW2";100;"Urban Background";591818;174837;51.4400154072681;0.758586282085247;2003-08-14 14:45:00;
"LA1";150;"Urban Background";511866;221145;51.877676;-0.376301;2003-10-16 09:00:00;2011-09-01 01:00:00
"SX4";200;"Roadside";522072;105136;50.8328702119614;-0.267914614150272;2003-08-15 01:00:00;2004-02-13 00:00:00
"RIE";503;"Roadside";516750;173750;51.4506815999714;-0.321230491530756;2003-02-25 00:00:00;2003-05-20 01:00:00
"TK3";34;"Roadside";569356;182736;51.518162;0.439548;2003-08-24 05:00:00;
"RIF";503;"Roadside";516750;173750;51.4506815999714;-0.321230491530756;2003-02-25 00:00:00;2003-05-20 01:00:00
"RIC";503;"Kerbside";518094;175267;51.4640372810175;-0.301391904857414;2002-11-19 11:30:00;2003-02-24 00:00:00
"RID";503;"Kerbside";518094;175267;51.4640372810175;-0.301391904857414;2002-11-19 11:30:00;2003-02-24 00:00:00
"SX7";200;"Roadside";544693;102384;50.8029311077659;0.0520220935903264;2005-01-25 00:00:00;2005-07-01 01:00:00
"BO1";250;"Suburban";262630;187170;51.5665963191827;-3.98334810595898;2003-12-11 11:00:00;2005-02-07 00:00:00
"LB4";22;"Kerbside";531070;175593;51.464113541162;-0.11458102695123;2003-12-18 00:00:00;
"CK1";251;"Suburban";0;0;49.7667866669653;-7.55715939721731;2004-01-07 10:00:00;2011-07-04 01:00:00
"RIG";503;"Roadside";517250;170250;51.4191216540222;-0.315195968785184;2003-05-21 01:00:00;2004-02-03 00:00:00
"RIH";503;"Roadside";517250;170250;51.4191216540222;-0.315195968785184;2003-05-21 01:00:00;2004-02-03 00:00:00
"MY7";33;"Kerbside";528125;182016;51.52254;-0.15459;2004-01-22 12:00:00;
"RII";503;"Urban Background";515750;171250;51.4284173678729;-0.336431582456963;2004-02-04 00:00:00;2004-04-26 01:00:00
"RIJ";503;"Urban Background";515750;171250;51.4284173678729;-0.336431582456963;2004-02-04 00:00:00;2004-04-26 01:00:00
"SX5";200;"Roadside";577110;108480;50.8487033738032;0.51457571041646;2004-02-13 00:00:00;2004-08-02 01:00:00
"BT5";4;"Industrial";521511;185204;51.552656;-0.248774;2004-02-29 23:00:00;
"NF1";176;"Industrial";442945;103930;50.833312;-1.391525;2001-01-01 00:00:00;2017-01-01 00:00:00
"NF2";176;"Industrial";445880;103248;50.826958;-1.349945;2002-01-01 00:00:00;2017-01-01 00:00:00
"NF3";176;"Urban Background";414248;105443;50.8483100901838;-1.79898293402964;2001-01-01 00:00:00;2004-10-07 01:00:00
"BX6";3;"Roadside";552615;175416;51.457159;0.195294;2004-04-08 01:00:00;2010-03-23 00:00:00
"EN5";10;"Roadside";529894;192223;51.613865;-0.125338;2004-07-01 01:00:00;
"A30";21;"Roadside";518983;165220;51.373553348648;-0.291969827871431;1997-03-20 00:00:00;2007-09-30 01:00:00
"BL0";6;"Urban Background";530123;182014;51.522287;-0.125848;1992-01-23 00:00:00;
"SU7";200;"Rural";517421;134148;51.094629;-0.324546;2009-04-28 01:00:00;2009-12-21 00:00:00
"MY1";33;"Kerbside";528125;182016;51.52254;-0.15459;1997-05-26 13:00:00;
"MY2";501;"Kerbside";528125;182016;51.5223667052165;-0.154699996073154;1997-08-12 10:00:00;2012-09-26 13:00:00
"MY3";501;"Kerbside";528125;182016;51.5223667052165;-0.154699996073154;1998-01-06 15:00:00;2003-06-01 01:00:00
"NH3";150;"Urban Background";535250;240750;52.0486176911781;-0.0291152629444116;2002-05-31 10:15:00;2003-05-13 08:30:00
"RB1";26;"Urban Background";544377;187647;51.569221;0.081821;1999-11-21 10:00:00;2014-05-13 01:00:00
"RB2";26;"Kerbside";543594;186418;51.5583461865157;0.0699915095238029;1999-12-01 14:00:00;2003-06-01 01:00:00
"DC3";46;"Roadside";497295;208901;51.7703117589898;-0.591364691385713;2012-10-31 00:00:00;2013-11-08 00:00:00
"NK8";500;"Urban Background";524045;181752;51.5210467476039;-0.213492139585065;2011-04-12 01:00:00;
"HG4";14;"Urban Background";529977;188903;51.5839769007709;-0.125400278484885;2012-10-25 01:00:00;
"GH1";650;"Rural";172060;21075;50.046033556665;-5.18511728841087;2012-11-19 00:00:00;2013-11-21 00:00:00
"XN0";500;"Urban Background";100000;100000;50.7219499093979;-6.25202012130081;2014-01-01 00:00:00;
"XL1";500;"Urban Background";532101;178832;51.4929813788003;-0.0985378910481832;2015-04-13 01:00:00;
"XO3";500;"Urban Background";100000;100000;50.7219499093979;-6.25202012130081;2018-05-05 01:00:00;2019-10-17 01:00:00
"RB3";26;"Kerbside";544555;190402;51.593935;0.085516;1999-11-20 14:00:00;2012-03-30 11:45:00
"RB4";26;"Roadside";540823;188369;51.57661;0.030858;1999-11-21 13:00:00;
"RG1";40;"Suburban";528204;142330;51.165858475858;-0.167734107139;2008-04-24 01:00:00;
"RI1";27;"Roadside";522498;177165;51.480189;-0.237335;2000-06-14 01:15:00;
"RI2";27;"Suburban";522989;176729;51.476168;-0.230427;2001-03-29 11:00:00;
"ST2";29;"Urban Background";523840;165740;51.3771892138334;-0.222044077436931;1995-04-25 18:00:00;2002-05-03 01:00:00
"SA1";150;"Urban Background";516548;207356;51.75278928679;-0.312949678581;1996-07-07 16:00:00;2011-03-29 01:00:00
"SE1";150;"Roadside";523586;223965;51.900545;-0.205114;2002-01-24 12:00:00;2011-11-01 00:00:00
"CR5";8;"Kerbside";530626;169707;51.411349;-0.12311;2000-10-05 12:15:00;
"CR6";8;"Suburban";531369;166096;51.3786978969719;-0.113796403332539;2001-01-26 08:00:00;2009-05-22 01:00:00
"CY1";8;"Roadside";533901;171290;51.424812;-0.075449;1999-09-30 00:00:00;2010-07-29 01:00:00
"EH1";150;"Rural";533344;230068;51.953134;-0.061014;1997-06-17 11:15:00;2009-07-18 01:00:00
"EH2";150;"Urban Background";548548;215628;51.81955;0.153865;1998-07-01 00:00:00;2011-11-01 00:00:00
"EH3";150;"Roadside";548220;215393;51.817529;0.149001;2001-10-10 01:00:00;2011-11-01 00:00:00
